mapset,zipcode,Tn,Tx,U2,ea,Gc,G,K,Rnl,ETo
2024-09-16,93234,11.28,23.82,2.09,1.05,6202.70,5636.50,0.91,-6.05,4.02
2024-09-16,93235,12.05,24.73,2.15,1.03,6079.78,5538.47,0.91,-6.17,4.19
2024-09-16,93238,9.00,19.70,3.85,0.58,6942.26,6441.76,0.93,-7.07,5.28
2024-09-16,93239,11.36,23.92,2.03,1.05,6216.56,5337.62,0.86,-5.59,3.92
2024-09-16,93240,9.24,19.92,3.75,0.63,6944.71,6579.49,0.95,-7.17,5.23
2024-09-16,93241,12.03,24.96,2.47,1.05,6259.68,5900.15,0.94,-6.45,4.55
2024-09-16,93242,11.40,24.25,1.93,1.07,6133.04,5461.87,0.89,-5.87,3.91
2024-09-16,93243,7.01,20.00,2.59,0.87,6974.04,5721.75,0.82,-5.28,3.88
2024-09-16,93244,10.36,23.35,2.44,0.91,6251.36,4748.49,0.76,-4.86,4.08
2024-09-16,93245,11.66,24.28,1.99,1.06,6153.05,5561.51,0.90,-6.02,4.01
2024-09-16,93247,12.59,24.74,2.40,0.98,6107.02,5322.20,0.87,-5.93,4.42
2024-09-16,93249,10.57,23.46,1.95,1.05,6544.34,5805.08,0.89,-5.81,3.99
2024-09-16,93250,12.15,24.64,2.27,1.00,6219.44,5673.57,0.91,-6.25,4.39
2024-09-16,93251,8.55,22.25,1.93,0.98,6764.34,5792.88,0.86,-5.53,3.83
2024-09-16,93252,4.78,18.67,2.17,0.82,6850.53,6017.22,0.88,-5.76,3.55
2024-09-16,93254,6.04,20.24,1.81,0.95,7182.27,6681.15,0.93,-6.10,3.77
2024-09-16,93255,9.49,19.27,4.37,0.53,6858.08,6400.57,0.93,-7.28,5.56
2024-09-16,93256,12.63,24.81,2.18,1.02,6160.28,5445.63,0.88,-5.97,4.28
2024-09-16,93257,11.17,22.82,2.89,0.82,6446.17,5342.62,0.83,-5.72,4.65
2024-09-16,93258,12.87,24.89,2.32,1.00,6151.16,5690.43,0.93,-6.43,4.50
2024-09-16,93260,8.42,19.63,3.47,0.62,6847.65,5235.11,0.76,-5.24,4.66
2024-09-16,93261,12.63,24.73,2.36,0.98,6235.84,5638.72,0.90,-6.24,4.51
2024-09-16,93262,0.69,14.54,3.41,0.44,6676.54,4464.35,0.67,-4.18,3.51
2024-09-16,93263,11.56,24.67,2.14,1.04,6256.38,5752.67,0.92,-6.22,4.25
2024-09-16,93265,6.94,18.83,3.48,0.58,6745.27,5254.49,0.78,-5.38,4.48
2024-09-16,93266,11.78,24.29,2.02,1.06,6161.16,5655.97,0.92,-6.16,4.06
2024-09-16,93267,12.61,24.65,2.45,0.96,6137.15,5491.58,0.89,-6.19,4.52
2024-09-16,93268,9.54,23.73,1.95,1.06,6731.21,6146.87,0.91,-6.00,4.10
2024-09-16,93270,12.94,24.84,2.43,0.98,6215.56,5470.09,0.88,-6.04,4.56
2024-09-16,93271,5.49,18.53,3.16,0.61,6553.65,4706.47,0.71,-4.64,3.96
2024-09-16,93272,12.58,24.77,2.15,1.02,6138.16,5455.17,0.89,-6.01,4.24
2024-09-16,93274,12.41,24.71,2.12,1.03,6129.54,5389.18,0.88,-5.89,4.18
2024-09-16,93276,10.68,24.48,2.02,1.07,6457.24,5818.96,0.90,-5.94,4.13
2024-09-16,93277,12.14,24.62,2.07,1.04,6110.43,5347.59,0.88,-5.82,4.09
2024-09-16,93280,11.72,24.57,2.05,1.05,6189.36,5705.31,0.92,-6.23,4.15
2024-09-16,93283,8.53,18.76,4.06,0.57,6900.91,6444.07,0.93,-7.10,5.18
2024-09-16,93285,8.68,19.50,3.74,0.60,7000.90,6583.27,0.94,-7.14,5.18
2024-09-16,93286,11.16,24.15,2.26,0.98,6169.77,5077.27,0.82,-5.38,4.10
2024-09-16,93287,11.98,23.83,2.69,0.90,6343.69,5633.10,0.89,-6.21,4.68
2024-09-16,93291,11.89,24.59,2.04,1.05,6079.58,5291.84,0.87,-5.75,4.01
2024-09-16,93292,12.06,24.73,2.15,1.03,6080.88,5437.79,0.89,-6.02,4.17
2024-09-16,93301,11.98,24.89,2.38,1.03,6249.26,5819.05,0.93,-6.38,4.49
2024-09-16,93304,11.87,24.91,2.36,1.04,6253.79,5883.66,0.94,-6.44,4.48
2024-09-16,93305,11.99,24.79,2.44,1.02,6260.71,5846.76,0.93,-6.43,4.54
2024-09-16,93306,10.85,22.89,2.90,0.86,6563.67,5921.35,0.90,-6.34,4.75
2024-09-16,93307,11.87,24.89,2.44,1.05,6332.39,5868.64,0.93,-6.29,4.52
2024-09-16,93308,11.13,23.36,2.69,0.89,6384.03,5690.99,0.89,-6.20,4.56
